designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
L8X8X1/2,L,L8X8X1/2,L8X8X1/2,26.4,7.84,8.0,,,
L8X6X1,L,L8X6X1,L8X6X1,44.2,13.1,6.0,,,
L8X6X7/8,L,L8X6X7/8,L8X6X7/8,39.1,11.5,6.0,,,
L8X6X3/4,L,L8X6X3/4,L8X6X3/4,33.8,9.99,6.0,,,
L8X6X5/8,L,L8X6X5/8,L8X6X5/8,28.5,8.41,6.0,,,
L8X6X9/16,L,L8X6X9/16,L8X6X9/16,25.7,7.61,6.0,,,
L8X6X1/2,L,L8X6X1/2,L8X6X1/2,23.0,6.8,6.0,,,
L8X6X7/16,L,L8X6X7/16,L8X6X7/16,20.2,5.99,6.0,,,
L8X4X1,L,L8X4X1,L8X4X1,37.4,11.1,4.0,,,
L8X4X7/8,L,L8X4X7/8,L8X4X7/8,33.1,9.79,4.0,,,
L8X4X3/4,L,L8X4X3/4,L8X4X3/4,28.7,8.49,4.0,,,
L8X4X5/8,L,L8X4X5/8,L8X4X5/8,24.2,7.16,4.0,,,
L8X4X9/16,L,L8X4X9/16,L8X4X9/16,21.9,6.49,4.0,,,
L8X4X1/2,L,L8X4X1/2,L8X4X1/2,19.6,5.8,4.0,,,
L8X4X7/16,L,L8X4X7/16,L8X4X7/16,17.2,5.11,4.0,,,
L7X4X3/4,L,L7X4X3/4,L7X4X3/4,26.2,7.74,4.0,,,
L7X4X5/8,L,L7X4X5/8,L7X4X5/8,22.1,6.5,4.0,,,
L7X4X1/2,L,L7X4X1/2,L7X4X1/2,17.9,5.26,4.0,,,
L7X4X7/16,L,L7X4X7/16,L7X4X7/16,15.7,4.63,4.0,,,
L7X4X3/8,L,L7X4X3/8,L7X4X3/8,13.6,4.0,4.0,,,
L6X6X1,L,L6X6X1,L6X6X1,37.4,11.0,6.0,,,
L6X6X7/8,L,L6X6X7/8,L6X6X7/8,33.1,9.75,6.0,,,
L6X6X3/4,L,L6X6X3/4,L6X6X3/4,28.7,8.46,6.0,,,
L6X6X5/8,L,L6X6X5/8,L6X6X5/8,24.2,7.13,6.0,,,
L6X6X9/16,L,L6X6X9/16,L6X6X9/16,21.9,6.45,6.0,,,
L6X6X1/2,L,L6X6X1/2,L6X6X1/2,19.6,5.77,6.0,,,
L6X6X7/16,L,L6X6X7/16,L6X6X7/16,17.2,5.08,6.0,,,
L6X6X3/8,L,L6X6X3/8,L6X6X3/8,14.9,4.38,6.0,,,
L6X6X5/16,L,L6X6X5/16,L6X6X5/16,12.4,3.67,6.0,,,
L6X4X7/8,L,L6X4X7/8,L6X4X7/8,27.2,8.0,4.0,,,
L6X4X3/4,L,L6X4X3/4,L6X4X3/4,23.6,6.94,4.0,,,
L6X4X5/8,L,L6X4X5/8,L6X4X5/8,20.0,5.86,4.0,,,
L6X4X9/16,L,L6X4X9/16,L6X4X9/16,18.1,5.31,4.0,,,
L6X4X1/2,L,L6X4X1/2,L6X4X1/2,16.2,4.75,4.0,,,
L6X4X7/16,L,L6X4X7/16,L6X4X7/16,14.3,4.18,4.0,,,
L6X4X3/8,L,L6X4X3/8,L6X4X3/8,12.3,3.61,4.0,,,
L6X4X5/16,L,L6X4X5/16,L6X4X5/16,10.3,3.03,4.0,,,
L6X3-1/2X1/2,L,L6X3-1/2X1/2,L6X3-1/2X1/2,15.3,4.5,3.5,,,
L6X3-1/2X3/8,L,L6X3-1/2X3/8,L6X3-1/2X3/8,11.7,3.44,3.5,,,
L6X3-1/2X5/16,L,L6X3-1/2X5/16,L6X3-1/2X5/16,9.8,2.89,3.5,,,
L5X5X7/8,L,L5X5X7/8,L5X5X7/8,27.2,8.0,5.0,,,
L5X5X3/4,L,L5X5X3/4,L5X5X3/4,23.6,6.98,5.0,,,
L5X5X5/8,L,L5X5X5/8,L5X5X5/8,20.0,5.9,5.0,,,
L5X5X1/2,L,L5X5X1/2,L5X5X1/2,16.2,4.79,5.0,,,
